# name	address	city	state	zipcode	phone	website	general email	ceo name	ceo email
Central Garden & Pet	1340 Treat Blvd.	Walnut Creek	CA	94597	925-948-4000	www.centralgardenandpet.com	info@centralgp.com	William E. Brown	None
Century Aluminum	2511 Garden Rd.	Del Rey Oaks	CA	93940	831-642-9300	www.centuryaluminum.com	aposti@centuryca.com	Logan W. Kruger	None
CenturyTel	100 CenturyTel Dr.	Monroe	LA	71203	318-388-9000	www.centurytel.com	stacy.havlik@centurytel.com	Glen F. Post III	None
Cenveo	201 Broad St.	Stamford	CT	06901	203-595-3000	www.cenveo.com	info@cenveo.com	Robert G. Burton Sr.	robert.burton@cenveo.com
Cephalon	41 Moores Rd.	Frazer	PA	19355	610-344-0200	www.cephalon.com	humanresources@cephalon.com	Frank Baldino Jr.	fbaldino@cephalon.com
CF Industries Holdings	4 Parkway N.	Deerfield	IL	60015	847-405-2400	www.cfindustries.com	cfcs@cfindustries.com	Stephen R. Wilson	None
CH2M Hill	9191 S. Jamaica St.	Englewood	CO	80112	303-771-0900	www.ch2m.com	feedback@ch2m.com	Ralph R. Peterson	rpeterson@ch2m.com
Chaparral Steel	300 Ward Rd.	Midlothian	TX	76065	972-775-8241	www.chapusa.com	rancevic@gerdauameristeel.com	Mario Longhi	None
Charles Schwab	120 Kearny St.	San Francisco	CA	94108	415-636-7000	www.aboutschwab.com	public.relations@schwab.com	Charles R. Schwab	None
Charming Shoppes	450 Winks Lane	Bensalem	PA	19020	215-245-9100	www.charmingshoppes.com	cscsutomerservice@charmingshoppes.com	Dorrit J. Bern	None
Charter Communications	12405 Powerscourt Dr.	Des Peres	MO	63131	314-965-0555	www.charter.com	nsmit@charter.com	Neil Smit	neil.smit@chartercom.com
Chemtura	199 Benson Road	Middlebury	CT	06749	203-573-2000	www.chemtura.com	janet.gilboy@chemtura.com	Robert L. Wood	None
Chesapeake Energy	6100 N. Western Ave.	Oklahoma City	OK	73118	405-848-8000	www.chk.com	oinquirydo@chk.com	Aubrey K. McClendon	None
Chevron	6001 Bollinger Canyon Rd.	San Ramon	CA	94583	925-842-1000	www.chevron.com	ptarabini@chevron.com	David J. O'Reilly	None
Chico's FAS	11215 Metro Pkwy.	Fort Myers	FL	33966	239-277-6200	www.chicos.com	customerservice@chicos.com	Scott A. Edmonds	None
Children's Place Retail Stores	915 Secaucus Rd.	Secaucus	NJ	07094	201-558-2400	www.childrensplace.com	None	Charles K. Crovitz	None
Chiquita Brands International	250 E. Fifth St.	Cincinnati	OH	45202	513-784-8000	www.chiquita.com	customerservice@chiquita.com	Fernando Aguirre	None
CHS	5500 Cenex Dr.	Inver Grove Heig	MN	55077	651-355-6000	www.chsinc.com	info@chsinc.com	John D. Johnson	john.johnson@chsinc.com
Chubb	15 Mountain View Rd.	Warren	NJ	07061	908-903-2000	www.chubb.com	info@chubb.com	John D. Finnegan	None
Church & Dwight	469 N. Harrison St.	Princeton	NJ	08543	609-683-5900	www.churchdwight.com	alison.lukacsko@churchdwight.com	James R. Craigie	None
Cigna	2 Liberty Place	Philadelphia	PA	19192	215-761-1000	www.cigna.com	info@cigna.com	H. Edward Hanway	None
Cincinnati Financial	6200 S. Gilmore Rd.	Fairfield	OH	45014	513-870-2000	www.cinfin.com	cfc_corporate@cinfin.com	John J. Schiff Jr.	None
Cinemark Holdings	3900 Dallas Pkwy.	Plano	TX	75093	972-665-1000	www.cinemark.com	intheatre@ncm.com.	Alan W. Stock	None
Cintas	6800 Cintas Blvd.	Cincinnati	OH	45262	513-459-1200	www.cintas.com	info@cintas.com	Scott D. Farmer	None
Circuit City Stores	9950 Mayland Dr.	Ridge	VA	23233	804-486-4000	www.circuitcity.com	CustomerCare@cc.circuitcity.com	Philip J. Schoonover	None
Cisco Systems	170 W. Tasman Dr.	San Jose	CA	95134	408-526-4000	www.cisco.com	cs-support-us@cisco.com	John T. Chambers	john.chambers@cisco.com
CIT Group	505 Fifth Ave.	New York	NY	10017	212-771-0505	www.cit.com	customerservice@xlservicing.com	Jeffrey M. Peek	None
Citigroup	399 Park Ave.	New York	NY	10043	212-559-1000	www.citigroup.com	None	Vikram S. Pandit	None
Citizens Communications	3 High Ridge Park	Ridgeway	CT	06905	203-614-5600	www.czn.net	Citizens@czn.com	Mary Agnes Wilderotter	None
Clear Channel Communications	200 E. Basse Rd.	Alamo Heights	TX	78209	210-822-2828	www.clearchannel.com	ContactUs@clearchannelint.com	Mark P. Mays	MarkPMays@clearchannel.com
Cleveland-Cliffs	1100 Superior Ave.	Cleveland	OH	44114	216-694-5700	www.cleveland-cliffs.com	information@cleveland-cliffs.com	Joseph A. Carrabba	None
Clorox	1221 Broadway	Oakland	CA	94612	510-271-7000	www.thecloroxcompany.com	None	Donald R. Knauss	don.knauss@clorox.com
CME Group	20 S. Wacker Dr.	Chicago	IL	60606	312-930-1000	www.cmegroup.com	info@cmegroup.com	Craig S. Donohue	craig.donohue@cmegroup.com
CMS Energy	1 Energy Plaza	Jackson	MI	49201	517-788-0550	www.cmsenergy.com	info@cmsenergy.com	David W. Joos	None
Coach	516 W. 34th St.	New York	NY	10001	212-594-1850	www.coach.com	comments@coach.com	Lew Frankfort	None
Coca-Cola	1 Coca-Cola Plaza	Atlanta	GA	30313	404-676-2121	www.thecoca-colacompany.com	pressinquiries@na.ko.com	E. Neville Isdell	nisdell@na.ko.com
Coca-Cola Enterprises	2500 Windy Ridge Pkwy.	Atlanta	GA	30339	770-989-3000	www.cokecce.com	ccemail@cokecce.com.	John F. Brock	j.brock@cokecce.com
Cognizant Technology Solutions	500 Frank W. Burr Blvd.	Teaneck	NJ	07666	201-801-0233	www.cognizant.com	alan.alper@cognizant.com	Francisco D'Souza	None
Colgate-Palmolive	300 Park Ave.	New York	NY	10022	212-310-2000	www.colgate.com	directors@colpal.com	Ian M. Cook	None
Collective Brands	3231 SE Sixth Ave.	Topeka	KS	66607	785-233-5171	www.collectivebrands.com	scicero@gcigroup.com	Matthew E. Rubel	None
Colonial Bancgroup	100 Colonial Bank Blvd.	Montgomery	AL	36117	334-676-5000	www.colonialbank.com	colonialbank@markmonitor.com	Robert E. Lowder	None
Comcast	1 Comcast Center	Philadelphia	PA	19103	215-286-1700	www.comcast.com	comcast@einfo.comcast.net	Brian L. Roberts	brian.roberts@comcast.com
Comerica	1717 Main St.	Dallas	TX	75201	214-969-6476	www.comerica.com	info@comerica.com	Ralph W. Babb Jr.	None
Commerce Bancorp	1701 Rt. 70 E.	Cherry Hill	NJ	08034	856-751-9000	www.commerceonline.com	corpcard.sales@commercebank.com	Bharat B. Masrani	None
Commerce Group	211 Main St.	Dudley Hill	MA	01570	508-943-9000	www.commerceinsurance.com	Generalcomments@Commerceinsurance.com	Gerald Fels	None
Commercial Metals	6565 N. MacArthur Blvd.	Irving	TX	75039	214-689-4300	www.cmc.com	Debbie.Okle@cmc.com	Murray R. McClean	murray.mcclean@cmc.com
CommScope	1100 CommScope Pl., S.E.	Hickory	NC	28602	828-324-2200	www.commscope.com	support.team@andrew.com	Frank M. Drendel	None
Community Health Systems	4000 Meridian Blvd.	Franklin	TN	37067	615-465-7000	www.chs.net	Corporate_Communications@chs.net	Wayne T. Smith	None
Complete Production Services	11700 Old Katy Rd.	Houston	TX	77079	281-372-2300	www.completeproduction.com	mmayer@completeproduction.com	Joseph C. Winkler	None
Computer Sciences	3170 Fairview Park Dr.	Mosby	VA	22042	703-876-1000	www.csc.com	jleiter@csc.com	Michael W. Laphen	mlaphen@csc.com
Con-way	2855 Campus Dr.	San Mateo	CA	94403	650-378-5200	www.con-way.com	info@con-way.com	Douglas W. Stotlar	None
ConAgra Foods	1 ConAgra Dr.	Omaha	NE	68102	402-595-4000	www.conagrafoods.com	None	Gary M. Rodkin	None
ConocoPhillips	600 N. Dairy Ashford Rd.	Houston	TX	77079	281-293-1000	www.conocophillips.com	A-CORU@conocophillips.com	James J. Mulva	None
Conseco	11825 N. Pennsylvania St.	Carmel	IN	46032	317-817-6100	www.conseco.com	ir@conseco.com	C. James Prieur	james_prieur@conseco.com
Consol Energy	1800 Washington Rd.	Upper Saint Clai	PA	15241	412-831-4000	www.consolenergy.com	info@consolenergy.com	J. Brett Harvey	brettharvey@consolenergy.com
Consolidated Edison	4 Irving Place	New York	NY	10003	212-460-4600	www.conedison.com	customerservice@coned.com	Kevin Burke	None
Constellation Brands	370 Woodcliff Dr.	Fairport	NY	14450	585-218-3600	www.cbrands.com	paul.middlebrook@cbrands.com	Robert S. Sands	robert.sands@cbrands.com
Constellation Energy	750 E. Pratt St.	Baltimore	MD	21202	410-783-2800	www.constellation.com	communications@constellation.com	Mayo A. Shattuck III	mayo.shattuck@constellation.com
Continental Airlines	1600 Smith St.	Houston	TX	77002	713-324-2950	www.continental.com	geninfo@coair.com	Lawrence W. Kellner	larry.kellner@continental.com
Convergys	201 E. 4th St.	Cincinnati	OH	45202	513-723-7000	www.convergys.com	marketing@convergys.com	David F. Dougherty	None
Cooper Tire & Rubber	701 Lima Ave.	Findlay	OH	45840	419-423-1321	www.coopertire.com	info@coopertire.com	Roy V. Armes	None
Cooper-Standard Holdings	39550 Orchard Hill Place Dr.	Novi	MI	48375	248-596-5900	www.cooperstandard.com	info@cooperstandard.com	James S. McElya	None
Core-Mark Holding	395 Oyster Point Blvd.	South San Franci	CA	94080	650-589-9445	www.coremark.com	support@coremark.com	J. Michael Walsh	mwalsh@coremark.com
Corn Products International	5 Westbrook Corporate Ctr.	Westchester	IL	60154	708-551-2600	www.cornproducts.com	corpcomm@cornproducts.com	Samuel C. Scott III	None
Corning	1 Riverfront Plaza	Corning	NY	14831	607-974-9000	www.corning.com	Inquiries@corning.com	Wendell P. Weeks	None
Costco Wholesale	999 Lake Dr.	Issaquah	WA	98027	425-313-8100	www.costco.com	NationalMembershipPrograms@costco.com	James D. Sinegal	None
Country Insurance & Fin. Svcs.	1701 N. Towanda Ave.	Bloomington	IL	61702	309-821-3000	www.countryfinancial.com	accountaccess@countryinvestment.com	John D. Blackburn	john.blackburn@countryfinancial.com
Countrywide Financial	4500 Park Granada	Calabasas	CA	91302	818-225-3000	www.countrywide.com	customersolutions1@countrywide.com	Angelo R. Mozilo	angelo_mozilo@countrywide.com
Covance	210 Carnegie Center	Princeton	NJ	08540	609-452-4440	www.covance.com	info@covance.com	Joseph L. Herring	None
Coventry Health Care	6705 Rockledge Dr.	West Bethesda	MD	20817	301-581-0600	www.cvty.com	None	Dale B. Wolf	None
Crane	100 First Stamford Pl.	Stamford	CT	06902	203-363-7300	www.craneco.com	crfdn@craneco.com	Eric C. Fast	None
Crosstex Energy	2501 Cedar Springs Rd.	Dallas	TX	75201	214-953-9500	www.crosstexenergy.com	allysia.emerson@crosstexenergy.com	Barry E. Davis	barry.davis@crosstexenergy.com
Crown Holdings	1 Crown Way	Philadelphia	PA	19154	215-698-5100	www.crowncork.com	michael.dunleavy@crowncork.com	John W. Conway	None
CSK Auto	645 E. Missouri Ave.	Phoenix	AZ	85012	602-265-9200	www.cskauto.com	ajohnson@cskauto.com	Lawrence N. Mondry	None
CSX	500 Water St.	Jacksonville	FL	32202	904-359-3200	www.csx.com	the_greenbrier@greenbrier.com	Michael J. Ward	None
Cummins	500 Jackson St.	Columbus	IN	47201	812-377-5000	www.cummins.com	pgamail@cummins.com	Theodore M. Solso	None
CUNA Mutual Group	5910 Mineral Point Rd.	Madison	WI	53705	608-238-5851	www.cunamutual.com	jim.buchheim@cunamutual.com	Jeffrey Post	None
CVR Energy	2277 Plaza Dr.	Sugar Land	TX	77479	281-207-3200	www.cvrenergy.com	info@cvrenergy.com	John J. Lipinski	None
CVS Caremark	1 CVS Dr.	North Smithfield	RI	02895	401-765-1500	www.cvs.com	customercare@cvs.com	Thomas M. Ryan	None
Cytec Industries	5 Garret Mountain Plaza	West Paterson	NJ	07424	973-357-3100	www.cytec.com	custinfo@cytec.com	David Lilley	None
D.R. Horton	301 Commerce St.	Fort Worth	TX	76102	817-390-8200	www.drhorton.com	lbaptiste@drhorton.com	Donald J. Tomnitz	None
Dana Holding	4500 Dorr St.	Toledo	OH	43615	419-535-4500	www.dana.com	SpicerParts@dana.com	Gary L. Convis	None
Danaher	2099 Pennsylvania Ave. N.W.	Washington	DC	20006	202-828-0850	www.danaher.com	info@danaher.com	H. Lawrence Culp Jr.	None
Darden Restaurants	5900 Lake Ellenor Dr.	Pine Castle	FL	32809	407-245-4000	www.darden.com	dardeninfo@darden.com	Clarence Otis Jr.	cotis@darden.com
DaVita	601 Hawaii St.	El Segundo	CA	90245	310-536-2400	www.davita.com	Careers@davita.com	Kent J. Thiry	None
Dean Foods	2515 McKinney Ave.	Dallas	TX	75201	214-303-3400	www.deanfoods.com	pauline_mendez@deanfoods.com	Gregg L. Engles	None
Deere	1 John Deere Place	Moline	IL	61265	309-765-8000	www.johndeere.com	None	Robert W. Lane	LaneRobertW@JohnDeere.com
Del Monte Foods	1 Market St.	San Francisco	CA	94105	415-247-3000	www.delmonte.com	Contact-US-Executive-Office@freshdelmonte.com	Richard G. Wolford	None
Dell	1 Dell Way	Round Rock	TX	78682	512-338-4400	www.dell.com	info@dell.com	Michael S. Dell	michael_dell@dell.com
Delphi	5725 Delphi Dr.	Troy	MI	48098	248-813-2000	www.delphi.com	None	Rodney O'Neal	rodney.oneal@delphi.com
Delta Air Lines	1030 Delta Blvd.	Hapeville	GA	30354	404-715-2600	www.delta.com	info@delta.com	Richard H. Anderson	richard.anderson@delta.com
Dentsply International	221 W. Philadelphia St.	York	PA	17405	717-845-7511	www.dentsply.com	info@dentsply.com	Bret W. Wise	None
Devon Energy	20 N. Broadway	Oklahoma City	OK	73102	405-235-3611	www.devonenergy.com	DevonRevenueHotline@dvn.com	J. Larry Nichols	None
Dick's Sporting Goods	300 Industry Dr.	Pittsburgh	PA	15275	724-273-3400	www.dickssportinggoods.com	groupsales@dickssportinggoods.com	Edward W. Stack	None
Dillard's	1600 Cantrell Rd.	Little Rock	AR	72201	501-376-5200	www.dillards.com	questions@dillards.com	William Dillard II	None
DirecTV Group	2230 E. Imperial Highway	El Segundo	CA	90245	310-964-5000	www.directv.com	chase.carey@directv.com	Chase Carey	chase.carey@directv.com
DISH Network	9601 S. Meridian Blvd.	Englewood	CO	80112	303-723-1000	www.dishnetwork.com	feedback@customermail.dishnetwork.com	Charles W. Ergen	charles.ergen@dishnetwork.com
Dole Food	1 Dole Dr.	Westlake Village	CA	91362	818-879-6600	www.dole.com	dole_consumercenter@na.dole.com.	David A. DeLorenzo	None
Dollar General	100 Mission Ridge	Goodlettsville	TN	37072	615-855-4000	www.dollargeneral.com	CustomerService@dollargeneral.com	Richard W. Dreiling	None
Dollar Thrifty Automotive	5330 E. 31st St.	Tulsa	OK	74135	918-660-7700	www.dtag.com	rhelpdesk@dollar.com	Gary L. Paxton	gary.paxton@dtag.com
Dollar Tree	500 Volvo Parkway	Chesapeake	VA	23320	757-321-5000	www.dollartree.com	info@dollartree.com	Robert Sasser	None
Dominion Resources	120 Tredegar St.	Richmond	VA	23219	804-819-2000	www.dom.com	info@dom.com	Thomas F. Farrell II	None
Donaldson	1400 W. 94 St.	Bloomington	MN	55431	952-887-3131	www.donaldson.com	donaldsonfoundation@mail.donaldson.com	William M. Cook	bcook@mail.donaldson.com
Dover	280 Park Ave.	New York	NY	10017	212-922-1640	www.dovercorporation.com	whistle@fulcruminquiry.com	Ronald L. Hoffman	None
Dow Chemical	2030 Dow Center	Midland	MI	48674	989-636-1000	www.dow.com	PresidingDirector@Dow.com	Andrew N. Liveris	anliveris@dow.com
Dresser-Rand Group	1200 W. Sam Houston Pkwy. N.	Houston	TX	77043	713-467-2221	www.dresser-rand.com	info@dresser-rand.com	Vincent R. Volpe Jr.	None
DRS Technologies	5 Sylvan Way	Parsippany	NJ	07054	973-898-1500	www.drs.com	patw@drs.com	Mark S. Newman	None
DST Systems	333 W. 11th St.	Kansas City	MO	64105	816-435-1000	www.dstsystems.com	ir@dstsystems.com	Thomas A. McDonnell	None
DTE Energy	2000 Second Ave.	Detroit	MI	48226	313-235-4000	www.dteenergy.com	None	Anthony F. Earley Jr.	None
Duane Reade Holdings	440 Ninth Ave.	New York	NY	10001	212-273-5700	www.duanereade.com	info@duanereade.com	David D'Arezzo	None
Duke Energy	526 S. Church St.	Charlotte	NC	28202	704-594-6200	www.duke-energy.com	ContactUs@duke-energy.com	James E. Rogers	jim.rogers@duke-energy.com
Dun & Bradstreet	103 JFK Parkway	Short Hills	NJ	07078	973-921-5500	www.dnb.com	dnbusnationalcustomerrelations@dnb.com	Steven W. Alesio	None
DuPont	1007 Market St.	Wilmington	DE	19898	302-774-1000	www.dupont.com	personalprotection@usa.dupont.com	Charles O. Holliday Jr.	None
DynCorp International	3190 Fairview Park Dr.	Mosby	VA	22042	571-722-0210	www.dyn-intl.com	inquiry@dyn-intl.com	Herbert J. Lanese	None
Dynegy	1000 Louisiana St.	Houston	TX	77002	713-507-6400	www.dynegy.com	scm@dynegy.com	Bruce A. Williamson	None
E*Trade Financial	135 East 57th St.	New York	NY	10022	646-521-4300	www.etrade.com	tellmemore@etrade.com	R. Jarrett Lilien	None
E.W. Scripps	312 Walnut St.	Cincinnati	OH	45202	513-977-3000	www.scripps.com	corpcomm@scripps.com	Kenneth W. Lowe	None
Eastman Chemical	200 S. Wilcox Dr.	Bloomingdale	TN	37660	423-229-2000	www.eastman.com	udomain@eastman.com	J. Brian Ferguson	None
Eastman Kodak	343 State St.	Rochester	NY	14650	585-724-4000	www.kodak.com	support@kodak.com	Antonio M. Perez	antonio.perez@kodak.com
Eaton	1111 Superior Ave.	Cleveland	OH	44114	216-523-5000	www.eaton.com	InternetQuestions@eaton.com	Alexander M. Cutler	None
eBay	2145 Hamilton Ave.	San Jose	CA	95125	408-376-7400	www.ebay.com	cswebhelp@ebay.com	John Donahoe	None
Ecolab	370 Wabasha St. N.	Saint Paul	MN	55102	651-293-2233	www.ecolab.com	info.f&b@ecolab.co.uk	Douglas M. Baker Jr.	None
Edison International	2244 Walnut Grove Ave.	Rosemead	CA	91770	626-302-2222	www.edison.com	edison.gifts@sce.com        employ@sce.com	John E. Bryson	john.bryson@edisonintl.com
El Paso	1001 Louisiana St.	Houston	TX	77002	713-420-2600	www.elpaso.com	ownerrelations@elpaso.com	Douglas L. Foshee	None
Electronic Arts	209 Redwood Shores Pkwy.	Redwood City	CA	94065	650-628-1500	www.ea.com	None	John S. Riccitiello	jriccitiello@ea.com
Electronic Data Systems	5400 Legacy Dr.	Plano	TX	75024	972-604-6000	www.eds.com	Info@eds.com	Ronald A. Rittenmeyer	ronald.rittenmeyer@eds.com
Eli Lilly	Lilly Corporate Center	Indianapolis	IN	46285	317-276-2000	www.lilly.com	None	John C. Lechleiter	jlechleiter@lilly.com
Embarq	5454 W. 110th St.	Leawood	KS	66211	913-323-4637	www.embarq.com	customerservice@embarq.com	Thomas A. Gerke	tom.gerke@embarq.com
EMC	176 South St.	Hopkinton	MA	01748	508-435-1000	www.emc.com	support@docscience.com	Joseph M. Tucci	None
Emcor Group	301 Merritt 7 Corporate Park	Norwalk	CT	06851	203-849-7800	www.emcorgroup.com	emcor_info@emcorgroup.com	Frank T. MacInnis	None
Emerson Electric	8000 W. Florissant Ave.	Jennings	MO	63136	314-553-2000	www.gotoemerson.com	CustServe.Bristol@EmersonProcess.com	David N. Farr	None
Enbridge Energy Partners	1100 Louisiana St.	Houston	TX	77002	713-821-2000	www.enbridgepartners.com	shrrelations@mellon.com	Stephen J.J. Letwin	Steve.letwin@enbridge.com
Energizer Holdings	533 Maryville Univ. Dr.	Creve Coeur	MO	63141	314-985-2000	www.energizer.com	customercare@energizer.com	Ward M. Klein	ward.klein@energizer.com
Energy East	52 Farm View Dr.	New Gloucester	ME	04260	207-688-6300	www.energyeast.com	info@energyeast.com	Wesley W. von Schack	None
Energy Future Holdings	1601 Bryan St.	Dallas	TX	75201	214-812-4600	www.energyfutureholdings.com	Corp.Comm@energyfutureholdings.com	John F. Young	None
Energy Transfer Equity	3738 Oak Lawn Ave.	Dallas	TX	75219	214-981-0700	www.energytransfer.com	InvestorRelations@energytransfer.com.	Kelcy L. Warren	amayfield@energytransfer.com
ENSCO International	500 N. Akard St.	Dallas	TX	75201	214-397-3000	www.enscous.com	ir.hdqrs@enscous.com	Daniel W. Rabun	None
Entergy	639 Loyola Ave.	New Orleans	LA	70113	504-576-4000	www.entergy.com	smacnar@entergy.com	J. Wayne Leonard	None
Enterprise GP Holdings	1100 Louisiana St.	Houston	TX	77002	713-381-6500	www.enterprisegp.com	None	Ralph S. Cunningham	None
EOG Resources	1111 Bagby	Houston	TX	77002	713-651-7000	www.eogresources.com	info@eogresources.com	Mark G. Papa	mark_papa@eogresources.com
Equifax	1550 Peachtree Street N.W.	Atlanta	GA	30309	404-885-8000	www.equifax.com	member.benefits@equifax.com	Richard F. Smith	richard.smith@equifax.com
Equity Residential	2 N. Riverside Plaza	Chicago	IL	60606	312-474-1300	www.equityresidential.com	None	David J. Neithercut	None
Erie Insurance Group	100 Erie Insurance Place	Erie	PA	16530	814-870-2000	www.erieinsurance.com	None	John J. Brinling Jr.	John.Brinling@ERIEinsurance.com
Estee Lauder	767 Fifth Ave.	New York	NY	10153	212-572-4200	www.elcompanies.com	consumercommunications-elc@estee.com	William P. Lauder	None
Exelon	10 S. Dearborn St.	Chicago	IL	60603	312-394-7398	www.exeloncorp.com	info@exeloncorp.com	John W. Rowe	john.w.rowe@exeloncorp.com
Exide Technologies	13000 Deerfield Pkwy.	Alpharetta	GA	30004	678-566-9000	www.exide.com	tbgna@exide.com	Gordon A. Ulsh	gordon.ulsh@exide.com
Expedia	3150 139th Ave. SE	Bellevue	WA	98005	425-679-7200	www.expediainc.com	mktgopp@expedia.com	Dara Khosrowshahi	None
Expeditors International of Washington	1015 Third Ave.	Seattle	WA	98104	206-674-3400	www.expeditors.com	None	Peter J. Rose	peter.rose@expeditors.com
Express Scripts	1 Express Way	Normandy	MO	63121	314-996-0900	www.express-scripts.com	suppliermailbox@express-scripts.com	George Paz	None
ExpressJet Holdings	700 N. Sam Houston Pkwy. W.	Houston	TX	77067	832-353-1000	www.expressjet.com	customerrelations@expressjet.com	James B. Ream	None
Exterran Holdings	4444 Brittmoore Rd.	Houston	TX	77041	713-335-7000	www.exterran.com	Total_Solutions@Exterran.com	Stephen A. Snider	stephen.snider@exterran.com
Exxon Mobil	5959 Las Colinas Blvd.	Irving	TX	75039	972-444-1000	www.exxonmobil.com	info@exxonmobil.com	Rex W. Tillerson	rex.tillerson@exxonmobil.com
Fairchild Semiconductor Intl.	82 Running Hill Road	South Portland	ME	04106	207-775-8100	www.fairchildsemi.com	sales@rocelec.com <	Mark S. Thompson	None
Family Dollar Stores	10401 Monroe Rd.	Stallings	NC	28105	704-847-6961	www.familydollar.com	hrservicecenter@familydollar.com	Howard R. Levine	hlevine@familydollar.com
Fannie Mae	3900 Wisconsin Ave. N.W.	Washington	DC	20016	202-752-7000	www.fanniemae.com	headquarters@fanniemae.com	Daniel H. Mudd	None
Fastenal	2001 Theurer Blvd.	Goodview	MN	55987	507-454-5374	www.fastenal.com	info@fastenal.com	Willard D. Oberton	None
Federal-Mogul	26555 Northwestern Highway	Southfield	MI	48033	248-354-7700	www.federal-mogul.com	fmpurchasing@federalmogul.com	Jose Maria Alapont	None
FedEx	942 S. Shady Grove Rd.	Memphis	TN	38120	901-818-7500	www.fedex.com	inquiry@fedex.com	Frederick W. Smith	None
Ferrellgas Partners	7500 College Blvd.	Lenexa	KS	66210	913-661-1500	www.ferrellgas.com	CustomerConnection@ferrellgas.com.	James E. Ferrell	None
Ferro	1000 Lakeside Ave.	Cleveland	OH	44114	216-641-8580	www.ferro.com	harveyr@ferro.com	James F. Kirsch	None
Fidelity National Financial	601 Riverside Ave.	Jacksonville	FL	32204	904-854-8100	www.fnf.com	IMS@fnis.com	Alan L. Stinson	None
Fidelity National Information Services	601 Riverside Ave.	Jacksonville	FL	32204	904-854-8100	www.fidelityinfoservices.com	consumer.inquire@fnis.com	Lee A. Kennedy	None
Fifth Third Bancorp	38 Fountain Square Plaza	Cincinnati	OH	45263	513-534-5300	www.53.com	info@53.com	Kevin T. Kabat	None
First American Corp.	1 First American Way	Santa Ana Height	CA	92707	714-250-3000	www.firstam.com	sales@firstam.com	Parker S. Kennedy	None
First Data	6200 S. Quebec St.	Cherry Hills Vil	CO	80111	303-967-8000	www.firstdatacorp.com	fdc.ir@firstdata.com	Michael Capellas	None
First Horizon National Corp.	165 Madison Ave.	Memphis	TN	38103	901-523-4444	www.fhnc.com	allthingsfinancial@firsthorizon.com	Gerald L. Baker	None
FirstEnergy	76 S. Main St.	Akron	OH	44308	800-736-3402	www.firstenergycorp.com	SupplierSupport@firstenergycorp.com	Anthony J. Alexander	None
Fiserv	255 Fiserv Dr.	Brookfield	WI	53045	262-879-5000	www.fiserv.com	general_info@fiserv.com	Jeffery W. Yabuki	None
Fleetwood Enterprises	3125 Myers St.	Riverside	CA	92503	951-351-3500	www.fleetwood.com	001HSGService@fleetwood.com	Elden L. Smith	elden.smith@fleetwood.com
Flowers Foods	1919 Flowers Circle	Thomasville	GA	31757	229-226-9110	www.flowersfoods.com	None	George E. Deese	None
Flowserve	5215 N. O'Connor Blvd.	Irving	TX	75039	972-443-6500	www.flowserve.com	intercom@flowserve.com	Lewis M. Kling	None
Fluor	6700 Las Colinas Blvd.	Irving	TX	75039	469-398-7000	www.fluor.com	chemicals@fluor.com	Alan L. Boeckmann	alan.boeckmann@fluor.com
FM Global	1301 Atwood Ave.	Cranston	RI	02919	401-275-3000	www.fmglobal.com	servicedesk.myrisk@fmglobal.com	Shivan S. Subramaniam	None
FMC	1735 Market St.	Philadelphia	PA	19103	215-299-6000	www.fmc.com	None	William G. Walter	None
FMC Technologies	1803 Gears Rd.	Houston	TX	77067	281-591-4000	www.fmctechnologies.com	corporate.info@fmcti.com	Peter D. Kinnear	None
Foot Locker	112 W. 34th St.	New York	NY	10120	212-720-3700	www.footlocker-inc.com	None	Matthew D. Serra	None
Ford Motor	1 American Rd.	Dearborn	MI	48126	313-322-3000	www.ford.com		Alan R. Mulally	alan.mulally@ford.com
Forest Laboratories	909 Third Ave.	New York	NY	10022	212-421-7850	www.frx.com	contactus@frx.com	Howard Soloman	howard.solomon@frx.com
Fortune Brands	520 Lake Cook Rd.	Deerfield	IL	60015	847-484-4400	www.fortunebrands.com	mail@fortunebrands.com	Bruce A. Carbonari	None
FPL Group	700 Universe Blvd.	North Palm Beach	FL	33408	561-694-4000	www.fplgroup.com	ec_edi@fpl.com	Lewis Hay III	None
Franklin Resources	1 Franklin Pkwy.	San Mateo	CA	94403	650-312-2000	www.franklintempleton.com	None	Gregory E. Johnson	None
Fred's	4300 New Getwell Rd.	Memphis	TN	38118	901-365-8880	www.fredsinc.com	fredsonlinesupport@fredsinc.com	Michael J. Hayes	None
Freddie Mac	8200 Jones Branch Dr.	West Mclean	VA	22102	703-903-2000	www.freddiemac.com	corprel@freddiemac.com	Richard F. Syron	richard.syron@freddiemac.com
Freeport-McMoRan Copper & Gold	1 N. Central Ave.	Phoenix	AZ	85004	602-366-8100	www.fcx.com	fcx_communications@fmi.com	Richard C. Adkerson	None
Frontier Oil	10000 Memorial Dr.	Houston	TX	77024	713-688-9600	www.frontieroil.com	hr@frontieroil-den.com.	James R. Gibbs	None
Furniture Brands International	101 S. Hanley Rd.	Clayton	MO	63105	314-863-1100	www.furniturebrands.com	jbotsford@furniturebrands.com	Ralph P. Scozzafava	None
GameStop	625 Westport Pkwy.	Grapevine	TX	76051	817-424-2000	www.gamestop.com	orders@gamestop.com <orders@gamestop.com>	R. Richard Fontaine	None
